date	type	title	description	photoURL	caption
609	R	The Revelation Begins	Archangel Gabriel meets Prophet Muhammad. Prophet Muhammad runs to his wife [Khadija bint Khwaylid](https://en.wikipedia.org/wiki/Khadija_bint_Khuwaylid) who introduces him to [Waraqa ibn Nawfal](https://en.wikipedia.org/wiki/Waraqah_ibn_Nawfal), a [hanif](https://en.wikipedia.org/wiki/Hanif) adhering to the religion of Abraham.	https://upload.wikimedia.org/wikipedia/commons/e/e4/Dark_vignette_Al-Masjid_AL-Nabawi_Door800x600x300.jpg	Dark vignette Al-Masjid AL-Nabawi
622	R	First Islamic Society	Prophet Muhammad goes on [Hegira](https://en.wikipedia.org/wiki/Hegira) (departure from Mecca to Medina). He's welcomed by the people of Medina. The event marks the birth of the Islamic Society.	https://i.ibb.co/93pG7b8/desert-4134934-1920.jpg	Camels
632	R	Rashidun Caliphate Starts	Prophet Mohammed dies having conqured Mecca. Most tribes of Arabia are Muslims.	https://upload.wikimedia.org/wikipedia/commons/d/d4/Tile_panel_from_Damascus%2C_c._1600%2C_Boston_Museum_of_Fine_Arts.jpg	Tile panel from Damascus with the names of the four rightly guided caliphs.
634	C	Expansion Of The Caliphate	Omar ibn Al-Khattab becomes second Caliphate. During his reign, the Caliphate expands from North Africa to Persia.	https://i.ibb.co/7vjhvNn/Great-Mosque-of-Kairouan-courtyard-and-prayer-hall-facade.jpg	The expansion of the Rushidun Caliphate
641	C	Egypt, Land Of Islam	Muslim conquest of Egypt is complete after the siege of Alexandria (the capital at the time) ran for months, marking the end of Eastern Roman maritime power. Muslims considered their conquest as the liberation of subjugated people, since in most instances they were under oppressive rule.	https://upload.wikimedia.org/wikipedia/commons/3/31/Mosque-Madrassa_of_Sultan_Hassan_-_Cairo_2.jpg	Roman ruins in Alexandria remain to this day
642	C	A Decisive Victory In Nahavand	Muslim's victory in the Battle of Nahavand laid the groundwork for ending the Sassanid Empire and the conquest of all Persia.	https://upload.wikimedia.org/wikipedia/commons/d/d8/Castle_Nahavend_by_Eug%C3%A8ne_Flandin.jpg	 Nahavand Castle, which was one of the last Sasanian strongholds
656	C	Civil War Breaks Out	Uthman Ibn Affan is assassinated by the Kharajites. The first fitna, civil war, begins between different factions of Muslims.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
661	C	Ummayads Rise To Power	[Muawiyah ibn Abi Sufyan](https://en.wikipedia.org/wiki/Muawiyah_I) becomes the first Umayyad Caliph after the peace treaty with Hassan ibn Ali, grandson of the Prophet Muhammad and last caliph in Rashidun Caliphate.	https://upload.wikimedia.org/wikipedia/commons/0/02/Lead_seal_of_Mu%27awiya%27s_dismissal_of_Ibn_Amir%2C_ca._664.png	Ummayad Seal
680	R	The Battle Of Karbala	[Husayn ibn Ali](https://en.wikipedia.org/wiki/Husayn_ibn_Ali), the grandson of Prophet Muhammad, is killed in the battle of [Karbala](https://en.wikipedia.org/wiki/Battle_of_Karbala), a day remembered by Shia Muslims to this day.	https://upload.wikimedia.org/wikipedia/commons/4/45/Karbala_City_3.jpg	test caption
692	C	The Siege Of Mecca	Second fitna, civil war ends, Abd Allah ibn al-Zubayr is martyred after the siege of Mecca.	https://i.ibb.co/q9c706Z/mecca.jpg	Ka'abaa
695	C	Abd Al-Malik Ibn Marwan Creates The Empire	[Abd al-Malik ibn Marwan](https://en.wikipedia.org/wiki/Abd_al-Malik_ibn_Marwan) makes major reforms in the administrative structure of the Caliphate, including increasing caliphal power, restructuring the army and Arabizing and Islamizing the bureaucracy. He also minted the first Islamic gold Dinar. His reforms laid the groundwork for trade and exchange for centries to come.	https://i.ibb.co/jLmx5VL/dm.jpg	test caption
699	R	Ahl Al-Ra'y In Iraq	The birth of "the great imam" of Sunnis, [Abu Hanifa](https://en.wikipedia.org/wiki/Abu_Hanifa), a theologian and jurist of Persian origin. His school of jurisprudence is the most widely practiced to this day.	https://upload.wikimedia.org/wikipedia/commons/3/34/%D8%AC%D8%A7%D9%85%D8%B9_%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D9%85_%D8%A7%D9%84%D8%A3%D8%B9%D8%B8%D9%85_%D8%A3%D8%A8%D9%8A_%D8%AD%D9%86%D9%8A%D9%81%D8%A9.jpg	test caption
705	C	Poetry Is Truly Arab	The rise of poetry under the Umayyad rule. [Al-Farazdaq](https://en.wikipedia.org/wiki/Al-Farazdaq) makes it to the personal court of [Caliph al-Walid](https://en.wikipedia.org/wiki/Al-Walid_I). [Jareer](https://en.wikipedia.org/wiki/Jarir_ibn_Atiyah) and [Al-Akhtal](https://en.wikipedia.org/wiki/Al-Akhtal_al-Taghlibi)'s poems survive to this day.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
711	C	Islam Reaches Europe	[Tariq ibn Ziyad](https://en.wikipedia.org/wiki/Tariq_ibn_Ziyad) disembarks on a journey to cross the Mediterranean Sea, defeats the Visigoths, and start the muslim conquest of the Iberian peninsula.	https://i.ibb.co/mzwwqZX/alhambra-179171-1920.jpg	test caption
717	R	The sixth Rashid Caliph	[Omar ibn Abd al-Aziz](https://en.wikipedia.org/wiki/Umar_II) rises to power, deemed as the sixth Rashid (rightly-guided) Caliphate. He was a pacifist who cared more spreading Islam than the conquests.	https://en.wikipedia.org/wiki/Umar_II#/media/File:Gold_dinar_of_Umar_II.jpg	test caption
750	C	The Rise Of The Abbasids	[The Abbasids](https://en.wikipedia.org/wiki/Abbasid_Caliphate) revolt in [Khorsan](https://en.wikipedia.org/wiki/Greater_Khorasan) by virtue of their closer bloodline to Muhammad. The last Ummayad caliph Marwan flees to Egypt, where he was subsequently assassinated. [As-Saffah](https://en.wikipedia.org/wiki/As-Saffah) becomes the first Abbasid caliph. The Caliphate moves from  Damascus to Baghdad.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
763	C	Ummayad Europe Lives On	[Caliph Al-Mansur](https://en.wikipedia.org/wiki/Al-Mansur), accepting defeat, dubbs [Abd al-Rahman I of Andalus](https://en.wikipedia.org/wiki/Abd_al-Rahman_I)  "Hawk of Quraysh" and promises never to fight him again. Abbasids would never control Andalus and it would remain under the control of the Ummayads for a few hundered years until its dissolution.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
779	R	Hadith Collection	Caliph Al-Mansur requests Imam Malik to produce a standard book that could be promulgated as law in the country. Imam Malik writes his Muwatta, the earliest collection of hadith texts comprising the subjects of Islamic law.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
786	S	Harun Al-Rashid and the House Of Wisdom	Harun al-Rashid (the rightly guided) comes to power. He creates Bayt Al-Hikmah, House of Wisdom,  as a part of the significant Translation Movement taking place during the Abbasid Era, translating works from Greek and Syriac to Arabic.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
